,0
931,251276623
932,291857533
933,204046484
934,69585997
935,273800776
936,305927108
937,251689892
938,290913376
939,300646529
940,274563992
941,33197912
942,311150207
943,308668711
944,305881482
945,299623340
946,275116861
947,105873364
948,281710377
949,314634479
950,90212208
951,284995804
952,246828433
953,305864059
954,309085697
955,74458758
956,84615267
957,6217559
958,313690343
959,124773414
960,253529200
961,150717554
962,49055683
963,272182262
964,298642069
965,301479814
966,307630689
967,274059293
968,190996450
969,31214662
970,272406930
971,274229400
972,315615524
973,306855154
974,289027055
975,291534151
976,287323401
977,17198148
978,297672432
979,311054292
980,15143420
981,215684212
982,15417263
983,311328566
984,195835571
985,285414716
986,311497287
987,156431933
988,187823405
989,220648800
990,311820241
991,233787252
992,142355756
993,290840511
994,15418330
995,291683599
996,309624838
997,296244002
998,264294066
999,277437711
1000,259187879
1001,302188304
1002,15145714
1003,273510472
1004,289660249
1005,275116976
1006,297979304
1007,261713887
1008,247949978
1009,169000584
1010,101074013
1011,266776696
1012,281387954
1013,256944580
1014,307659686
1015,275465486
1016,248230719
1017,309927469
1018,278119908
1019,267453572
1020,239381794
1021,275116822
1022,257840332
1023,206523339
1024,299050063
1025,179739951
1026,50321901
1027,183671823
1028,265638346
1029,263143586
1030,303882483
1031,56071653
1032,137089797
1033,290838796
1034,282040010
1035,314781069
1036,257097524
1037,305853499
1038,310335936
1039,257865006
1040,305364966
1041,300383907
1042,112556653
1043,242731151
1044,78101945
1045,131198426
1046,311907915
1047,311966623
1048,258442
1049,306180480
1050,314859004
1051,234284864
1052,243188336
1053,128112258
1054,303359610
1055,192231920
1056,214102741
1057,306796231
1058,269649257
1059,258351068
1060,135365164
1061,289981161
1062,32093507
1063,32369929
1064,281360079
1065,312188767
1066,266664157
1067,309668993
1068,309281962
1069,246163194
1070,275700419
1071,317469509
1072,69334474
1073,276444239
1074,164458733
1075,275117268
1076,97739045
1077,243109892
1078,304933158
1079,148279287
1080,302167282
1081,294232248
1082,273495064
1083,295786251
1084,312162486
1085,316124730
1086,314111754
1087,314525626
1088,74556907
1089,290435046
1090,247282469
1091,53157694
1092,255074084
1093,315547126
1094,312890595
1095,282103015
1096,256862899
1097,297302179
1098,311479089
1099,185977681
1100,58779951
1101,61743482
1102,301411563
1103,261175342
1104,255172699
1105,280833007
1106,313549769
1107,308604264
1108,229012345
1109,304127386
1110,316790036
1111,38944310
1112,314579844
1113,187317593
1114,20433504
1115,312191868
1116,310909055
1117,301879611
1118,313734844
1119,313131396
1120,308603240
1121,38892269
1122,106129748
1123,315679600
1124,315823006
1125,304800588
1126,286224757
1127,307013793
1128,102758708
1129,315604782
1130,299991242
1131,306833721
1132,15721960
1133,304745641
1134,175227889
1135,272792934
1136,315633225
1137,270770142
1138,304423223
1139,167240270
1140,268368468
1141,234207678
1142,303334744
1143,300276461
1144,313825957
1145,311810353
1146,250599362
1147,253029887
1148,297116780
1149,148240926
1150,52681856
1151,291744941
1152,264194599
1153,253583977
1154,299437678
1155,316561221
1156,317710878
1157,319756008
1158,167242388
1159,132753899
1160,269583346
1161,315599678
1162,313976736
1163,259537357
1164,270036253
1165,318440493
1166,238429360
1167,313676545
1168,318916771
1169,316372087
1170,317906305
1171,317267780
1172,312918054
1173,312960738
1174,309562921
1175,57139488
